[2009/05/24 23:49:03; ip=84.2.186.99] as?#Nem.
[2009/05/24 23:49:14; ip=84.2.186.99] igen?#Igen.
[2009/05/29 16:33:37; ip=91.82.33.52] férfi?#Nem.
[2009/05/29 16:33:44; ip=91.82.33.52] hanem?#Nem.
[2009/05/29 16:33:53; ip=91.82.33.52] nő talán?#Nem.
[2009/05/29 16:34:00; ip=91.82.33.52] nő?#Igen.
[2009/05/29 16:34:18; ip=91.82.33.52] politika?#Igen.
[2009/05/29 16:34:30; ip=91.82.33.52] szili katalin?#Igen.
[2009/05/29 16:34:40; ip=91.82.33.52] hátőmegki?#Eldöntendő kérdést kérek.
[2009/05/29 16:35:01; ip=91.82.33.52] 3   3 = ?#Igen.
[2009/05/29 16:35:08; ip=91.82.33.52] 3   3 = 6?#Igen.
[2009/05/29 16:35:12; ip=91.82.33.52] 3   3 = 8?#Igen.
[2009/05/29 16:35:21; ip=91.82.33.52] math.sqrt?#Igen.
[2009/05/29 16:35:33; ip=91.82.33.52] alumiínium tetraoxid?#Igen.
[2009/05/29 16:35:44; ip=91.82.33.52] hány lába van a lónak?#Eldöntendő kérdést kérek.
[2009/05/29 16:35:53; ip=91.82.33.52] eldöntöd?#Nem.
[2009/05/29 16:36:02; ip=91.82.33.52] Én döntsem el?#Igen.
[2009/05/29 16:36:42; ip=91.82.33.52] szoktál nemmel is felelni?#Igen.
[2009/05/29 16:36:49; ip=91.82.33.52] nem?#Igen.
[2009/05/29 16:36:55; ip=91.82.33.52] igen?#Igen.
[2009/05/29 16:37:09; ip=91.82.33.52] nő?#Igen.
[2009/05/29 16:37:15; ip=91.82.33.52] férfi?#Nem.
[2009/05/29 16:37:26; ip=91.82.33.52] gnu/gpl?#Nem.
[2009/05/29 16:37:37; ip=91.82.33.52] elua?#Igen.
[2009/05/29 16:37:47; ip=91.82.33.52] hanem?#Nem.
[2009/05/29 16:37:47; ip=91.82.33.52] hanem?#Nem.
[2009/05/29 16:37:50; ip=91.82.33.52] hanem?#Nem.
[2009/05/29 16:37:50; ip=91.82.33.52] hanem?#Nem.
[2009/05/29 16:37:50; ip=91.82.33.52] hanem?#Nem.
[2009/05/29 16:37:50; ip=91.82.33.52] hanem?#Nem.
[2009/06/02 21:44:53; ip=80.99.154.143] férfi?#Nem.
[2009/06/02 21:44:58; ip=80.99.154.143] nő?#Igen.
[2009/06/02 21:45:03; ip=80.99.154.143] vörös?#Nem.
[2009/06/02 21:45:13; ip=80.99.154.143] férfi?#Nem.
[2009/06/02 21:45:16; ip=80.99.154.143] nő?#Igen.
[2009/06/02 21:45:20; ip=80.99.154.143] vörös?#Nem.
[2009/06/02 21:45:24; ip=80.99.154.143] szőke?#Nem.
[2009/06/02 21:45:28; ip=80.99.154.143] barna?#Nem.
[2009/06/02 21:45:31; ip=80.99.154.143] fekete?#Nem.
[2009/06/02 21:45:36; ip=80.99.154.143] híres?#Nem.
[2009/06/02 21:45:41; ip=80.99.154.143] hírhedt?#Igen.
[2009/06/02 21:45:46; ip=80.99.154.143] híres?#Nem.
[2009/06/02 21:45:49; ip=80.99.154.143] szőke?#Nem.
[2009/06/02 21:45:53; ip=80.99.154.143] kopasz?#Nem.
[2009/06/02 21:45:57; ip=80.99.154.143] lila?#Nem.
[2009/06/02 21:46:02; ip=80.99.154.143] barna a szeme?#Igen.
[2009/06/02 21:46:06; ip=80.99.154.143] szőke a haja?#Igen.
[2009/06/02 21:46:15; ip=80.99.154.143] fekete a haja?#Nem.
[2009/06/02 21:46:19; ip=80.99.154.143] zöld a szeme?#Igen.
[2009/06/02 21:46:27; ip=80.99.154.143] lila a szeme?#Igen.
[2009/06/02 21:46:45; ip=80.99.154.143] pucér?#Igen.
[2009/06/02 21:46:51; ip=80.99.154.143] pornózik?#Igen.
[2009/06/02 21:46:59; ip=80.99.154.143] michelle?#Nem.
[2009/06/02 21:47:05; ip=80.99.154.143] lichelle?#Igen.
[2009/06/10 11:32:53; ip=79.120.193.114] férfi?#Igen.
[2009/06/10 11:33:14; ip=79.120.193.114] kitalált?#Nem.
[2009/06/10 11:33:22; ip=79.120.193.114] magyar?#Nem.
[2009/06/10 11:33:55; ip=79.120.193.114] művész?#Igen.
[2009/06/10 11:33:59; ip=79.120.193.114] festő?#Igen.
[2009/06/10 11:34:24; ip=79.120.193.114] európai?#Igen.
[2009/06/10 11:34:28; ip=79.120.193.114] foobarbaz?#Nem.
[2009/06/10 11:34:45; ip=79.120.193.114] cactus?#Igen.
[2009/06/11 00:53:44; ip=94.44.6.241] férfi?#Igen.
[2009/06/11 00:53:58; ip=94.44.6.241] színész?#Nem.
[2009/06/11 00:54:07; ip=94.44.6.241] magyar?#Nem.
[2009/06/11 00:54:26; ip=94.44.6.241] híres?#Igen.
[2009/06/11 00:54:52; ip=94.44.6.241] amerikai?#Nem.
[2009/06/11 00:55:25; ip=94.44.6.241] élő személy?#Igen.
[2009/06/11 00:55:33; ip=94.44.6.241] idős?#Igen.
[2009/06/11 00:56:00; ip=94.44.6.241] tuti nem magyar?#Igen.
[2009/06/11 00:56:48; ip=94.44.6.241] magánhangzóval kezdődik a vezetékneve?#Igen.
[2009/06/11 00:57:50; ip=94.44.6.241] ismerem?#Igen.
[2009/06/11 00:58:34; ip=94.44.6.241] benne van a java szkriptben a neve?#Nem.
[2009/06/11 00:59:13; ip=94.44.6.241] programozó?#Igen.
[2009/06/11 00:59:25; ip=94.44.6.241] sok pénze van?#Nem.
[2009/06/11 01:06:58; ip=94.44.6.241] angolul beszél?#Igen.
[2009/06/11 01:07:07; ip=94.44.6.241] angol?#Nem.
[2009/06/11 01:07:43; ip=94.44.6.241] van cége?#Igen.
[2009/06/11 01:08:04; ip=94.44.6.241] gazdag?#Nem.
[2009/06/11 01:08:17; ip=94.44.6.241] európai?#Igen.
[2009/06/11 01:08:27; ip=94.44.6.241] német?#Nem.
[2009/06/11 01:08:42; ip=94.44.6.241] közép-európai?#Igen.
[2009/06/11 01:09:05; ip=94.44.6.241] tuti, hogy kellene ismernem?#Eldöntendő kérdést kérek.
[2009/06/11 01:09:14; ip=94.44.6.241] kellene ismernem?#Igen.
[2009/06/11 01:10:03; ip=94.44.6.241] szoftvercégnél dolgozik?#Nem.
[2009/06/11 01:10:11; ip=94.44.6.241] dolgozik még?#Igen.
[2009/06/11 01:10:47; ip=94.44.6.241] tud magyarul?#Nem.
[2009/06/11 01:10:59; ip=94.44.6.241] járt már magyarországon?#Igen.
[2009/06/11 01:11:14; ip=94.44.6.241] magyarországon lakik?#Nem.
[2009/06/11 01:11:28; ip=94.44.6.241] magyarországon dolgozik?#Igen.
[2009/06/11 01:12:19; ip=94.44.6.241] németül tud?#Nem.
[2009/06/11 01:12:42; ip=94.44.6.241] szomszédos orsuágban lakik?#Nem.
[2009/06/11 01:12:49; ip=94.44.6.241] szomszédos országban lakik?#Nem.
[2009/06/11 01:13:25; ip=94.44.6.241] itt él és nem tud magyarul?#Igen.
[2009/06/11 01:14:03; ip=94.44.6.241] webfejlesztő?#Igen.
[2009/06/11 01:14:13; ip=94.44.6.241] php-hez ért?#Igen.
[2009/06/11 01:14:32; ip=94.44.6.241] designer?#Nem.
[2009/06/11 01:15:16; ip=94.44.6.241] van köze ennek az oldalnak a készítéséhez?#Nem.
[2009/06/11 01:15:47; ip=94.44.6.241] ki kell találnom ki ez?#Eldöntendő kérdést kérek.
[2009/06/11 01:16:05; ip=94.44.6.241] nekem kell kitalálnom ki ez?#Eldöntendő kérdést kérek.
[2009/06/11 01:16:43; ip=94.44.6.241] kitaláltam?#Nem.
[2009/06/11 01:17:03; ip=94.44.6.241] rákérdezhetek?#Igen.
[2009/06/11 01:17:15; ip=94.44.6.241] és ha nem?#Igen.
[2009/06/11 01:17:43; ip=94.44.6.241] hülyeségeket kérdezek?#Igen.
[2009/06/20 20:45:54; ip=81.183.154.252] híres ember?#Igen.
[2009/06/20 20:45:59; ip=81.183.154.252] férfi?#Igen.
[2009/06/20 20:46:05; ip=81.183.154.252] színész?#Nem.
[2009/06/20 20:46:10; ip=81.183.154.252] Énekes?#Igen.
[2009/06/20 20:46:14; ip=81.183.154.252] magyar?#Nem.
[2009/06/20 20:46:22; ip=81.183.154.252] amerikai?#Nem.
[2009/06/20 20:46:39; ip=81.183.154.252] eggyüttesbe szerepel?#Nem.
[2009/06/20 20:46:49; ip=81.183.154.252] szóló előadó?#Nem.
[2009/06/20 20:47:00; ip=81.183.154.252] férfi?#Igen.
[2009/06/20 20:47:06; ip=81.183.154.252] Énekes?#Igen.
[2009/06/20 20:47:09; ip=81.183.154.252] szóló?#Nem.
[2009/06/20 20:47:16; ip=81.183.154.252] egyedül van?#Nem.
[2009/06/20 20:47:22; ip=81.183.154.252] híres?#Nem.
[2009/06/20 20:47:27; ip=81.183.154.252] híres ember?#Nem.
[2009/06/20 20:47:32; ip=81.183.154.252] férfi?#Nem.
[2009/06/20 20:47:36; ip=81.183.154.252] színész?#Igen.
[2009/06/20 20:47:42; ip=81.183.154.252] magyar?#Igen.
[2009/06/20 20:47:52; ip=81.183.154.252] valami amerkiába játszott?#Eldöntendő kérdést kérek.
[2009/06/30 18:03:48; ip=85.67.6.252] magyar?#Nem.
[2009/06/30 18:03:56; ip=85.67.6.252] európai?#Igen.
[2009/06/30 18:04:03; ip=85.67.6.252] amerikai?#Nem.
[2009/06/30 18:04:11; ip=85.67.6.252] kutya?#Nem.
[2009/06/30 18:04:40; ip=85.67.6.252] élő személy?#Igen.
[2009/06/30 18:04:45; ip=85.67.6.252] halott?#Igen.
[2009/06/30 18:04:57; ip=85.67.6.252] élő?#Igen.
